FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
184504|Benito Canyon|Valley|NM|35|San Juan|045|365721N|1073545W|36.9558376|-107.5958881|370004N|1073335W|37.0011155|-107.5597755|1856|6089|Burnt Mesa|10/13/1978|01/07/2011
184525|Archuleta Mesa|Summit|CO|08|Archuleta|007|370124N|1065748W|37.023343|-106.9633702|||||2809|9216|Edith|10/13/1978|
184526|Seguro Canyon|Valley|NM|35|Rio Arriba|039|365805N|1070218W|36.9680649|-107.0383715|370119N|1070017W|37.0219537|-107.0047594|2033|6670|Wirt Canyon|10/13/1978|01/07/2011
184527|Agua Canyon|Valley|NM|35|Rio Arriba|039|365947N|1070610W|36.9963971|-107.1028171|370149N|1070300W|37.0302863|-107.0500383|1968|6457|Wirt Canyon|10/13/1978|03/01/2010
184550|Navajo River|Stream|CO|08|Archuleta|007|370126N|1070931W|37.0238959|-107.158652|371512N|1063843W|37.25334|-106.6453123|1926|6319|Pagosa Junction|10/13/1978|
184551|Conejo Canyon|Valley|CO|08|Archuleta|007|370112N|1071252W|37.0200062|-107.2144866|365948N|1071112W|36.9966736|-107.186708|1893|6211|Pagosa Junction|10/13/1978|
184552|Frijoles Canyon|Valley|CO|08|Archuleta|007|370015N|1071337W|37.004173|-107.2269868|365850N|1071137W|36.9805625|-107.1936527|1884|6181|Pagosa Junction|10/13/1978|
184553|Encarnacion Canyon|Valley|NM|35|Rio Arriba|039|365817N|1070048W|36.9713986|-107.0133709|370018N|1070039W|37.0050095|-107.0108705|2058|6752|Wirt Canyon|10/13/1978|01/07/2011
188031|City Reservoir|Reservoir|CO|08|La Plata|067|373228N|1073548W|37.5411969|-107.5965348|||||3329|10922|Columbine Pass|10/13/1978|01/02/2013
190871|Wolf Creek|Stream|NM|35|Rio Arriba|039|365722N|1063240W|36.95603|-106.54457|370244N|1063017W|37.0455655|-106.5047564|2493|8179|Chama|10/13/1978|11/17/2010
190872|Dixie Creek|Stream|CO|08|Conejos|021|370047N|1062527W|37.0130664|-106.4241989|365850N|1062739W|36.9805668|-106.4608663|2975|9760|Cumbres|10/13/1978|
190873|Apache Creek|Stream|CO|08|Conejos|021|370018N|1062332W|37.0050111|-106.3922537|365801N|1062610W|36.9669559|-106.4361434|2909|9544|Cumbres|10/13/1978|
190874|Arkansas Creek|Stream|CO|08|Conejos|021|370028N|1062436W|37.0077888|-106.4100318|365835N|1062634W|36.9764002|-106.4428102|2935|9629|Cumbres|10/13/1978|
190879|Toltec Creek|Stream|NM|35|Rio Arriba|039|365854N|1061726W|36.9816786|-106.2905844|370118N|1061844W|37.02167|-106.31217|2627|8619|Toltec Mesa|10/13/1978|11/17/2010
190893|Bighorn Creek|Stream|CO|08|Conejos|021|370245N|1061034W|37.04584|-106.17623|365929N|1061057W|36.9914014|-106.1825258|2510|8235|Fox Creek|10/13/1978|11/17/2010
190925|Rio San Antonio|Stream|CO|08|Conejos|021|371114N|1055354W|37.1872334|-105.8983542|365056N|1061815W|36.8489024|-106.3041947|2330|7644|Manassa|10/13/1978|
191032|Stove Creek|Stream|CO|08|Archuleta|007|370035N|1064800W|37.0097336|-106.8000362|365922N|1064341W|36.9894564|-106.7280916|2303|7556|Chromo|10/13/1978|
191034|Spring Valley|Valley|CO|08|Archuleta|007|370202N|1065036W|37.0338995|-106.8433697|365942N|1064524W|36.995012|-106.7567028|2220|7283|Chromo|10/13/1978|
191035|Coyote Creek|Stream|NM|35|Rio Arriba|039|365931N|1065524W|36.99205|-106.92322|370740N|1064753W|37.12778|-106.79812|2129|6985|Dulce|08/31/1992|11/17/2010
191053|Nabor Creek|Stream|NM|35|Rio Arriba|039|365732N|1063807W|36.95881|-106.63525|370138N|1063635W|37.027233|-106.6097571|2488|8163|Chromo Mountain|10/13/1978|11/17/2010
191086|Apache Canyon|Valley|CO|08|Conejos|021|365958N|1062404W|36.9994556|-106.4011428|365757N|1062611W|36.9658333|-106.4363889|2953|9688|West Fork Rio Brazos|10/13/1978|
193029|Ventero Creek|Stream|CO|08|Costilla|023|370915N|1052445W|37.15411|-105.41245|365856N|1052903W|36.9822445|-105.4841752|2452|8045|San Luis|10/13/1978|11/17/2010
193031|San Pedro Mesa|Summit|CO|08|Costilla|023|370245N|1052659W|37.0458538|-105.4497314|||||2807|9209|Sanchez Reservoir|10/13/1978|
193114|Costilla Creek|Stream|NM|35|Taos|055|365851N|1054303W|36.98082|-105.71751|365945N|1051504W|36.99575|-105.25106|2246|7369|Ute Mountain|10/13/1978|11/17/2010
193121|Jarocito Creek|Stream|CO|08|Costilla|023|370017N|1052512W|37.0047444|-105.4200078|365823N|1051949W|36.9730795|-105.3302836|2560|8399|Sanchez Reservoir|10/13/1978|
193122|Willow Creek|Stream|CO|08|Costilla|023|370037N|1052550W|37.0102997|-105.4305637|365854N|1051943W|36.9816904|-105.3286171|2546|8353|Sanchez Reservoir|10/13/1978|
193129|West Fork Costilla Creek|Stream|CO|08|Costilla|023|365945N|1051504W|36.9958572|-105.2511159|370106N|1051605W|37.0183562|-105.2680613|3151|10338|Big Costilla Peak|10/13/1978|
193142|Ricardo Creek|Stream|CO|08|Conejos|021|375827N|1050744W|37.9741725|-105.1288832|370328N|1051206W|37.0577995|-105.2016721|3261|10699|Bear Creek|10/13/1978|
193143|Little Vermejo Creek|Stream|NM|35|Colfax|007|365831N|1050743W|36.97537|-105.1286|370324N|1051102W|37.0566885|-105.1838938|2551|8369|The Wall|10/13/1978|11/17/2010
