FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
371613|Blue Creek Reservoir|Reservoir|ID|16|Owyhee|073|421836N|1161055W|42.3098964|-116.1820501|||||1649|5410|Nichol Flat|06/21/1979|
371614|Blue Creek Spring|Spring|ID|16|Clark|033|441010N|1123312W|44.1694478|-112.5532993|||||1623|5325|Lidy Hot Springs|06/21/1979|04/18/2011
371615|Blue Dragon Flow|Lava|ID|16|Butte|023|432514N|1133329W|43.4204593|-113.5580714|||||1780|5840|Inferno Cone|06/21/1979|
371616|Blue Gulch|Valley|ID|16|Owyhee|073|430221N|1164616W|43.039048|-116.7712375|430105N|1164551W|43.0180556|-116.7641667|1784|5853|De Lamar|06/21/1979|
371617|Blue Gulch|Valley|ID|16|Twin Falls|083|423339N|1145941W|42.5607384|-114.9947817|422738N|1145936W|42.4604622|-114.9933916|1141|3743|Balanced Rock|06/21/1979|
371618|Blue Lake|Lake|ID|16|Valley|085|450755N|1154256W|45.1319039|-115.7156759|||||2332|7651|Pony Meadows|06/21/1979|06/20/2011
371619|Blue Lake|Lake|ID|16|Nez Perce|069|461252N|1165035W|46.2143499|-116.8429326|||||1029|3376|Waha|06/21/1979|06/20/2011
371620|Blue Lakes|Reservoir|ID|16|Jerome|053|423649N|1142816W|42.6137|-114.4711064|||||1004|3294|Twin Falls|06/21/1979|12/31/2011
371621|Blue Nose|Summit|ID|16|Lemhi|059|452822N|1142131W|45.4726941|-114.3586977|||||2638|8655|Shoup|06/21/1979|
371622|Bluebird Mine|Mine|ID|16|Owyhee|073|424819N|1162507W|42.8051653|-116.4187235|||||1599|5246|Pixley Basin|06/21/1979|
